CD_PROGRAMA_IES,NM_PROGRAMA_IES,SG_ENTIDADE_ENSINO,NM_ENTIDADE_ENSINO,AN_BASE,ID_ADD_PRODUCAO_INTELECTUAL,ID_PRODUCAO_INTELECTUAL,NM_PRODUCAO,ID_TIPO_PRODUCAO,NM_TIPO_PRODUCAO,ID_SUBTIPO_PRODUCAO,NM_SUBTIPO_PRODUCAO,ID_FORMULARIO_PRODUCAO,NM_FORMULARIO,ID_AREA_CONCENTRACAO,NM_AREA_CONCENTRACAO,ID_LINHA_PESQUISA,NM_LINHA_PESQUISA,ID_PROJETO,NM_PROJETO,DH_INICIO_AREA_CONC,DH_FIM_AREA_CONC,DH_INICIO_LINHA,DH_FIM_LINHA,IN_GLOSA
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372582,5254012,ESTIMATIVA DE POSIÇÃO 3D DE OBSTÁCULOS PARA VANTS.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372557,5164924,DEFINING PROTOCOLS OF SYSTEMATIC LITERATURE REVIEWS IN SOFTWARE ENGINEERING : A SURVEY.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372663,5060362,METALEARNING FOR CONTEXT-AWARE FILTERING: SELECTION OF TENSOR FACTORIZATION ALGORITHMS.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91856,INTELIGÊNCIA COMPUTACIONAL,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372725,5236114,REARRANGEMENT AND CREATION OF NEW CORPORA FOR UPDATE AND COMPRESSIVE SUMMARIZATION TASKS FOR PORTUGUESE LANGUAGE,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91856,INTELIGÊNCIA COMPUTACIONAL,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372795,5158424,UMA FERRAMENTA DE APOIO AO GERENCIAMENTO DE PADRÕES PARA PROPÓSITOS PEDAGÓGICOS.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372727,5772496,RECONSTRUCTING UNCERTAIN PEDESTRIAN TRAJECTORIES FROM LOW-SAMPLING-RATE OBSERVATIONS,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91853,BANCO DE DADOS/COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DE IMAGENS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372106,5383529,A NEW APPROACH TO RANDOMLY GENERATE POROUS MEDIA TO PERFORM CFD SIMULATIONS.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91852,MECÂNICA DOS FLUIDOS COMPUTACIONAL/OTIMIZAÇÃO/MODELOS ESTOCÁSTICOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372477,5057470,AN ENSEMBLE-BASED APPROACH FOR BREAST MASS CLASSIFICATION IN MAMMOGRAPHY IMAGES,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91856,INTELIGÊNCIA COMPUTACIONAL,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372677,5277868,MOST COMMON FIXES STUDENTS USE TO IMPROVE THE CORRECTNESS OF THEIR PROGRAMS.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372738,5069189,RESTRICTED EXHAUSTIVE SEARCH FOR FREQUENCY BAND SELECTION IN MOTOR IMAGERY CLASSIFICATION,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91856,INTELIGÊNCIA COMPUTACIONAL,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372713,5265909,PROCESSAMENTO DE LINGUAGEM NATURAL NA EDUCAÇÃO SUPERIOR : COMPARANDO AUTOMATICAMENTE CURRÍCULOS DE CURSOS DE COMPUTAÇÃO,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91856,INTELIGÊNCIA COMPUTACIONAL,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372098,5533618,A FRAMEWORK OF QUALITY ASSESSMENT METHODS FOR CROWDSOURCED GEOGRAPHIC INFORMATION : A SYSTEMATIC LITERATURE REVIEW.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,264552,UMA ARQUITETURA GEOESPACIAL ABERTA E COLABORATIVA PARA CONSTRUIR RESILIÊNCIA CONTRA DESASTRES E IMPACTOS DAS MUDANÇAS CLIMÁTICAS EM COMUNIDADES VULNERÁVEIS,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372605,5164623,FEATURE-BASED TEST ORACLES TO CATEGORIZE SYNTHETIC 3D AND 2D IMAGES OF BLOOD VESSELS.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372452,5291469,A PROPOSAL OF A GRADUATE CLASS FOR THE HUMAN ROBOT INTERACTION AREA,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91856,INTELIGÊNCIA COMPUTACIONAL,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372097,5533162,A FORMALIZATION FOR SOFTWARE PROCESS DISCOVERY AND COMPARISON METRIC.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372586,5256686,EVALUATION OF A SOFTWARE ARCHITECTURE SUPPORTING ANDROID APPLICATIONS FOR USERS WITH MOTOR DISABILITIES,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372686,5164326,ON THE COSTS OF APPLYING LOGIC-BASED CRITERIA TO MOBILE APPLICATIONS : AN EMPIRICAL ANALYSIS OF PREDICATES IN REAL-WORLD OBJECTIVE-C AND SWIFT APPLICATIONS.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372612,5157299,"FRAMEWORK DE ENSINO DE PROGRAMAÇÃO PARA CRIANÇAS E JOVENS POR MEIO DE APRENDIZADO BASEADO EM PROJETOS USANDO COMPUTAÇÃO TANGÍVEL, STORYTELLING, INTERNET DAS COISAS E SISTEMAS EMBARCADOS.",2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372602,5239119,FACE CLASSIFICATION USING A NEW LOCAL TEXTURE DESCRIPTOR.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91853,BANCO DE DADOS/COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DE IMAGENS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372521,5516868,BRAZILIAN PORTUGUESE CROSS-CULTURAL ADAPTATION AND VALIDATION OF THE SUSCEPTIBILITY TO PERSUASION SCALE (BR-STPS),2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372765,5286108,SUPPORTING ASSESSMENT AND IMPROVEMENT OF SOFTWARE DEVELOPMENT PROCESSES USING MODEL TRANSFORMATIONS.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372552,5387176,DADOS ABERTOS EDUCACIONAIS NO BRASIL E SUA PREPARAÇÃO PARA OS DADOS ABERTOS NA WEB.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372461,5684516,A WORD-PREDICTION EYE-TYPING APPROACH FOR BRAZILIAN PORTUGUESE ENTRIES USING GEOMETRIC MOVEMENTS,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372542,5878426,COMPLEX NETWORK SHAPE DESCRIPTOR FOR 3D OBJECTS CLASSIFICATION.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91855,"SISTEMAS DISTRIBUÍDOS E PROGRAMAÇÃO CONCORRENTE/SISTEMAS EMBARCADOS, EVOLUTIVOS E ROBÓTICOS",,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372487,5073419,ANÁLISE DE RESPOSTA EM FREQUÊNCIA PARA MODELAGEM E GERAÇÃO DE CARGA DE TRABALHO EM APLICAÇÕES DE E-COMMERCE.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91855,"SISTEMAS DISTRIBUÍDOS E PROGRAMAÇÃO CONCORRENTE/SISTEMAS EMBARCADOS, EVOLUTIVOS E ROBÓTICOS",,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372539,5933130,COMPARISON BETWEEN TRADITIONAL TEXTURE METHODS AND DEEP LEARNING DESCRIPTORS FOR DETECTION OF NITROGEN DEFICIENCY IN MAIZE CROPS.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,,,,,01JAN2012:00:00:00.000000,,,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372791,5072996,UM ALGORITMO PARALELO PARA PRIORIZAÇÃO DE TESTES BASEADA EM SIMILARIDADE USANDO OPENMPI.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372716,5073276,PROGRAMAÇÃO PARALELA EM GPU COM O USO DA INTEGRAÇÃO CUDA E MATLAB.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372455,5242579,A SPLINE-BASED COST MODEL FOR METRIC TREES,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91853,BANCO DE DADOS/COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DE IMAGENS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372550,5151417,COOPERATIVE UAV FORMATION CONTROL SIMULATED IN X-PLANE.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91855,"SISTEMAS DISTRIBUÍDOS E PROGRAMAÇÃO CONCORRENTE/SISTEMAS EMBARCADOS, EVOLUTIVOS E ROBÓTICOS",,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372793,5227403,UM PROBLEMA DE DIMENSIONAMENTO E SEQUENCIAMENTO DE LOTES DE PRODUÇÃO COM GERENCIAMENTO DA DEMANDA VIA PEDIDOS E COM TEMPOS/CUSTOS DE PREPARAÇÃO DEPENDENTES DA SEQUÊNCIA.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91852,MECÂNICA DOS FLUIDOS COMPUTACIONAL/OTIMIZAÇÃO/MODELOS ESTOCÁSTICOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372476,5162057,AN EMBEDDED SYSTEM ARCHITECTURE BASED ON GENETIC ALGORITHMS FOR MISSION AND SAFETY PLANNING WITH UAV.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91855,"SISTEMAS DISTRIBUÍDOS E PROGRAMAÇÃO CONCORRENTE/SISTEMAS EMBARCADOS, EVOLUTIVOS E ROBÓTICOS",,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372787,5071579,"TSVIZ : A DATA STREAM ARCHITECTURE TO ONLINE COLLECT, ANALYZE, AND VISUALIZE TWEETS.",2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91853,BANCO DE DADOS/COMPUTAÇÃO GRÁFICA E PROCESSAMENTO DE IMAGENS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372541,6088923,COMPARISON OF 3D PATH-FOLLOWING ALGORITHMS FOR UNMANNED AERIAL VEHICLES.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91855,"SISTEMAS DISTRIBUÍDOS E PROGRAMAÇÃO CONCORRENTE/SISTEMAS EMBARCADOS, EVOLUTIVOS E ROBÓTICOS",,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372638,5238929,IMPROVING OPINION SUMMARIZATION BY ASSESSING SENTENCE IMPORTANCE IN ON-LINE REVIEWS,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91856,INTELIGÊNCIA COMPUTACIONAL,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
33002045004P1,CIÊNCIAS DA COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,USP/SC,UNIVERSIDADE DE SÃO PAULO ( SÃO CARLOS ),2017,22372789,5167054,TWO PERSPECTIVES ON REFERENCE ARCHITECTURE SUSTAINABILITY.,2,BIBLIOGRÁFICA,8,TRABALHO EM ANAIS,3,BIBLIOGRAFICA - TRABALHO EM ANAIS,78871,CIÊNCIAS DE COMPUTAÇÃO E MATEMÁTICA COMPUTACIONAL,91854,ENGENHARIA DE SOFTWARE E SISTEMAS DE INFORMAÇÃO/SISTEMAS WEB E MULTIMÍDIA INTERATIVOS,,,01JAN2012:00:00:00.000000,,01JAN2012:00:00:00.000000,,0
